cost|feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
25|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.11137254901960784|0.09247648902821316|0.5544001599778493|0.6286342873491777|0.8886274509803922|0.9075235109717869|0.8865814696485622|0.9107413010590015
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.11254901960784314|0.09561128526645768|0.549693119414235|0.616045619123726|0.8874509803921569|0.9043887147335423|0.885520542481053|0.9077155824508321
36|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.10901960784313726|0.09717868338557993|0.5638142411050778|0.6097512850110003|0.8909803921568628|0.9028213166144201|0.8889776357827477|0.9063444108761328
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon']|0.12901960784313726|0.09717868338557993|0.48379455152363526|0.6097512850110003|0.8709803921568627|0.9028213166144201|0.8673921805723498|0.9054878048780488
100|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'Lon', 'LifeTime']|0.11529411764705882|0.0987460815047022|0.5387100247658018|0.6034569508982746|0.8847058823529412|0.9012539184952978|0.8815471394037067|0.9052631578947368
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dOmega']|0.11647058823529412|0.09717868338557993|0.5340029842021875|0.6097512850110003|0.8835294117647059|0.9028213166144201|0.8802902055622733|0.9051987767584098
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dQV']|0.1188235294117647|0.09717868338557993|0.524588903074959|0.6097512850110003|0.8811764705882353|0.9028213166144201|0.8775757575757576|0.9051987767584098
81|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.10392156862745099|0.0987460815047022|0.5842114168807397|0.6034569508982746|0.8960784313725491|0.9012539184952978|0.8940423830467813|0.9049773755656108
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.1207843137254902|0.09717868338557993|0.5167438354689351|0.6097512850110003|0.8792156862745099|0.9028213166144201|0.8760064412238325|0.9049079754601227
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.10980392156862745|0.0987460815047022|0.5606762140626683|0.6034569508982746|0.8901960784313725|0.9012539184952978|0.8883572567783093|0.9044006069802731
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV']|0.11607843137254902|0.0987460815047022|0.5355719977233923|0.6034569508982746|0.883921568627451|0.9012539184952978|0.8804523424878836|0.9044006069802731
49|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.11294117647058824|0.0987460815047022|0.5481241058930303|0.6034569508982746|0.8870588235294118|0.9012539184952978|0.8840579710144927|0.904109589041096
100|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dSeaLevPress']|0.11411764705882353|0.0987460815047022|0.543417065329416|0.6034569508982746|0.8858823529411765|0.9012539184952978|0.8820429671665991|0.904109589041096
25|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.11607843137254902|0.0987460815047022|0.5355719977233923|0.6034569508982746|0.883921568627451|0.9012539184952978|0.8814102564102563|0.9038167938931297
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.11764705882352941|0.10031347962382445|0.5292959436385732|0.5971626167855487|0.8823529411764706|0.8996865203761756|0.8800959232613909|0.9036144578313253
81|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'Lon', 'LifeTime']|0.11490196078431372|0.10031347962382445|0.5402790382870065|0.5971626167855487|0.8850980392156863|0.8996865203761756|0.8819975835682642|0.9036144578313253
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dOmega']|0.11333333333333333|0.0987460815047022|0.5465550923718255|0.6034569508982746|0.8866666666666667|0.9012539184952978|0.883795737836751|0.9035222052067381
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.11960784313725491|0.0987460815047022|0.5214508760325495|0.6034569508982746|0.8803921568627451|0.9012539184952978|0.877657440834336|0.9032258064516129
64|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.11098039215686274|0.10031347962382445|0.5559691734990541|0.5971626167855487|0.8890196078431373|0.8996865203761756|0.8861167002012074|0.9027355623100304
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp']|0.10705882352941176|0.10031347962382445|0.5716593087111017|0.5971626167855487|0.8929411764705882|0.8996865203761756|0.8909308829404714|0.9027355623100304
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV']|0.11450980392156863|0.10031347962382445|0.5418480518082113|0.5971626167855487|0.8854901960784314|0.8996865203761756|0.8819725141471303|0.9027355623100304
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV']|0.10745098039215686|0.10031347962382445|0.570090295189897|0.5971626167855487|0.8925490196078432|0.8996865203761756|0.8897827835880933|0.9027355623100304
36|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.11490196078431372|0.10031347962382445|0.5402790382870065|0.5971626167855487|0.8850980392156863|0.8996865203761756|0.8828468612554978|0.9024390243902439
81|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.11098039215686274|0.10031347962382445|0.5559691734990541|0.5971626167855487|0.8890196078431373|0.8996865203761756|0.8872060581905141|0.9024390243902439
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lat', 'Lon']|0.12431372549019608|0.10031347962382445|0.5026227137780923|0.5971626167855487|0.875686274509804|0.8996865203761756|0.8724346076458753|0.9024390243902439
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.11137254901960784|0.10031347962382445|0.5544001599778493|0.5971626167855487|0.8886274509803922|0.8996865203761756|0.8852061438965239|0.9024390243902439
16|['AirTemp', 'QV', 'Omega', 'Lon', 'dOmega', 'dVWinds']|0.11843137254901961|0.10031347962382445|0.5261579165961637|0.5971626167855487|0.8815686274509804|0.8996865203761756|0.8772357723577234|0.9024390243902439
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV']|0.11254901960784314|0.10031347962382445|0.549693119414235|0.5971626167855487|0.8874509803921569|0.8996865203761756|0.8842275110931828|0.9024390243902439
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV']|0.10705882352941176|0.10031347962382445|0.5716593087111017|0.5971626167855487|0.8929411764705882|0.8996865203761756|0.8899637243047158|0.9024390243902439
36|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dAirTemp']|0.11019607843137255|0.10031347962382445|0.5591072005414636|0.5971626167855487|0.8898039215686274|0.8996865203761756|0.8874649579495395|0.9024390243902439
25|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.11647058823529412|0.10188087774294671|0.5340029842021875|0.5908682826728229|0.8835294117647059|0.8981191222570533|0.8817204301075269|0.9022556390977444
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.10196078431372549|0.10188087774294671|0.5920564844867635|0.5908682826728229|0.8980392156862745|0.8981191222570533|0.8959167333867093|0.9022556390977444
4|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'UWinds', 'Lon']|0.12509803921568627|0.10031347962382445|0.4994846867356829|0.5971626167855487|0.8749019607843137|0.8996865203761756|0.8712151796528057|0.9021406727828746
36|['AirTemp', 'QV', 'Omega', 'UWinds', 'LifeTime']|0.1207843137254902|0.10031347962382445|0.5167438354689351|0.5971626167855487|0.8792156862745099|0.8996865203761756|0.8765036086607858|0.9021406727828746
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.11843137254901961|0.10188087774294671|0.5261579165961637|0.5908682826728229|0.8815686274509804|0.8981191222570533|0.8789093825180434|0.9019607843137255
49|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.11411764705882353|0.10188087774294671|0.543417065329416|0.5908682826728229|0.8858823529411765|0.8981191222570533|0.8836465413834466|0.9019607843137255
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'LifeTime']|0.10901960784313726|0.10188087774294671|0.5638142411050778|0.5908682826728229|0.8909803921568628|0.8981191222570533|0.8877221324717285|0.9019607843137255
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'LifeTime']|0.10862745098039216|0.10188087774294671|0.5653832546262827|0.5908682826728229|0.8913725490196078|0.8981191222570533|0.8881711748082357|0.9019607843137255
16|['AirTemp', 'QV', 'Omega', 'Lon', 'LifeTime']|0.1223529411764706|0.10031347962382445|0.5104677813841161|0.5971626167855487|0.8776470588235294|0.8996865203761756|0.8732737611697807|0.901840490797546
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.10941176470588235|0.10188087774294671|0.5622452275838731|0.5908682826728229|0.8905882352941177|0.8981191222570533|0.8885337594886137|0.9016641452344931
16|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'UWinds', 'Lon']|0.1203921568627451|0.10188087774294671|0.5183128489901399|0.5908682826728229|0.8796078431372549|0.8981191222570533|0.876756322761943|0.9016641452344931
49|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'Lon', 'LifeTime']|0.11764705882352941|0.10188087774294671|0.5292959436385732|0.5908682826728229|0.8823529411764706|0.8981191222570533|0.8790322580645161|0.9016641452344931
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.10941176470588235|0.10188087774294671|0.5622452275838731|0.5908682826728229|0.8905882352941177|0.8981191222570533|0.8876359242851389|0.9013657056145676
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dQV']|0.10588235294117647|0.10188087774294671|0.576366349274716|0.5908682826728229|0.8941176470588236|0.8981191222570533|0.8915662650602411|0.9013657056145676
81|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dQV']|0.10352941176470588|0.10188087774294671|0.5857804304019445|0.5908682826728229|0.8964705882352941|0.8981191222570533|0.8939759036144579|0.9013657056145676
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp']|0.10941176470588235|0.10188087774294671|0.5622452275838731|0.5908682826728229|0.8905882352941177|0.8981191222570533|0.8881763527054108|0.9013657056145676
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'dUWinds', 'LifeTime']|0.10823529411764705|0.10188087774294671|0.5669522681474874|0.5908682826728229|0.8917647058823529|0.8981191222570533|0.8891566265060241|0.9013657056145676
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.11098039215686274|0.10188087774294671|0.5559691734990541|0.5908682826728229|0.8890196078431373|0.8981191222570533|0.8870259481037924|0.9010654490106543
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon']|0.12431372549019608|0.10188087774294671|0.5026227137780923|0.5908682826728229|0.875686274509804|0.8981191222570533|0.8724346076458753|0.9010654490106543
25|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.10784313725490197|0.10188087774294671|0.5685212816686922|0.5908682826728229|0.8921568627450981|0.8981191222570533|0.8896025692492975|0.9010654490106543
9|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'UWinds', 'Lon']|0.12549019607843137|0.10188087774294671|0.49791567321447816|0.5908682826728229|0.8745098039215686|0.8981191222570533|0.8711755233494365|0.9010654490106543
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'LifeTime']|0.11960784313725491|0.10188087774294671|0.5214508760325495|0.5908682826728229|0.8803921568627451|0.8981191222570533|0.8764682057513162|0.9010654490106543
16|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.1192156862745098|0.10188087774294671|0.5230198895537542|0.5908682826728229|0.8807843137254902|0.8981191222570533|0.8769230769230768|0.9010654490106543
36|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.11411764705882353|0.10188087774294671|0.543417065329416|0.5908682826728229|0.8858823529411765|0.8981191222570533|0.882708585247884|0.9010654490106543
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp']|0.10862745098039216|0.10188087774294671|0.5653832546262827|0.5908682826728229|0.8913725490196078|0.8981191222570533|0.889155662264906|0.9010654490106543
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp']|0.10862745098039216|0.10188087774294671|0.5653832546262827|0.5908682826728229|0.8913725490196078|0.8981191222570533|0.8892443022790885|0.9010654490106543
25|['AirTemp', 'QV', 'Omega', 'Lon', 'LifeTime']|0.1223529411764706|0.10188087774294671|0.5104677813841161|0.5908682826728229|0.8776470588235294|0.8981191222570533|0.8733766233766234|0.9010654490106543
49|['AirTemp', 'QV', 'Omega', 'UWinds', 'LifeTime']|0.12117647058823529|0.10188087774294671|0.5151748219477303|0.5908682826728229|0.8788235294117647|0.8981191222570533|0.8762515018021625|0.9010654490106543
81|['AirTemp', 'QV', 'Omega', 'UWinds', 'LifeTime']|0.1192156862745098|0.10188087774294671|0.5230198895537542|0.5908682826728229|0.8807843137254902|0.8981191222570533|0.8782051282051282|0.9010654490106543
81|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lat', 'LifeTime']|0.11647058823529412|0.10188087774294671|0.5340029842021875|0.5908682826728229|0.8835294117647059|0.8981191222570533|0.8817204301075269|0.9010654490106543
64|['AirTemp', 'QV', 'Omega', 'Lon', 'dSeaLevPress', 'LifeTime']|0.11725490196078431|0.10188087774294671|0.530864957159778|0.5908682826728229|0.8827450980392156|0.8981191222570533|0.878603329273244|0.9010654490106543
36|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.11607843137254902|0.10344827586206896|0.5355719977233923|0.5845739485600971|0.883921568627451|0.896551724137931|0.8818834796488427|0.9009009009009009
9|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.12|0.10188087774294671|0.5198818625113447|0.5908682826728229|0.88|0.8981191222570533|0.8760129659643436|0.9007633587786259
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'LifeTime']|0.12|0.10188087774294671|0.5198818625113447|0.5908682826728229|0.88|0.8981191222570533|0.8773055332798717|0.9007633587786259
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV']|0.10980392156862745|0.10188087774294671|0.5606762140626683|0.5908682826728229|0.8901960784313725|0.8981191222570533|0.887187751813054|0.9007633587786259
25|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dAirTemp']|0.11294117647058824|0.10188087774294671|0.5481241058930303|0.5908682826728229|0.8870588235294118|0.8981191222570533|0.8845228548516438|0.9007633587786259
64|['AirTemp', 'Omega', 'SeaLevPress', 'UWinds', 'LifeTime']|0.12392156862745098|0.10188087774294671|0.5041917272992971|0.5908682826728229|0.876078431372549|0.8981191222570533|0.8725806451612904|0.9007633587786259
49|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.10823529411764705|0.10344827586206896|0.5669522681474874|0.5845739485600971|0.8917647058823529|0.896551724137931|0.8896882494004796|0.9006024096385542
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.10745098039215686|0.10344827586206896|0.570090295189897|0.5845739485600971|0.8925490196078432|0.896551724137931|0.8905750798722044|0.9006024096385542
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.10509803921568628|0.10188087774294671|0.5795043763171255|0.5908682826728229|0.8949019607843137|0.8981191222570533|0.8926282051282052|0.9004594180704442
81|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.10313725490196078|0.10188087774294671|0.5873494439231493|0.5908682826728229|0.8968627450980392|0.8981191222570533|0.8947579031612646|0.9004594180704442
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.10156862745098039|0.10188087774294671|0.5936254980079683|0.5908682826728229|0.8984313725490196|0.8981191222570533|0.8964414234306277|0.9004594180704442
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dUWinds']|0.11686274509803922|0.10188087774294671|0.5324339706809827|0.5908682826728229|0.8831372549019608|0.8981191222570533|0.8804173354735152|0.9004594180704442
49|['AirTemp', 'QV', 'Omega', 'Lon', 'dOmega', 'LifeTime']|0.11215686274509803|0.10188087774294671|0.5512621329354398|0.5908682826728229|0.8878431372549019|0.8981191222570533|0.8842105263157894|0.9004594180704442
81|['AirTemp', 'Omega', 'SeaLevPress', 'UWinds', 'Lon', 'WaveTrajectory']|0.11490196078431372|0.10188087774294671|0.5402790382870065|0.5908682826728229|0.8850980392156863|0.8981191222570533|0.881520420541852|0.9004594180704442
25|['AirTemp', 'QV', 'Omega', 'UWinds', 'dUWinds', 'LifeTime']|0.11607843137254902|0.10188087774294671|0.5355719977233923|0.5908682826728229|0.883921568627451|0.8981191222570533|0.8807413376309428|0.9004594180704442
64|['AirTemp', 'Omega', 'UWinds', 'Lon', 'dAirTemp', 'dOmega']|0.10745098039215686|0.10031347962382445|0.570090295189897|0.5971626167855487|0.8925490196078432|0.8996865203761756|0.88915857605178|0.9003115264797509
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.11490196078431372|0.10344827586206896|0.5402790382870065|0.5845739485600971|0.8850980392156863|0.896551724137931|0.8830339321357286|0.9003021148036254
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dOmega']|0.11098039215686274|0.10344827586206896|0.5559691734990541|0.5845739485600971|0.8890196078431373|0.896551724137931|0.8859330914953648|0.9003021148036254
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'LifeTime']|0.11058823529411765|0.10344827586206896|0.5575381870202588|0.5845739485600971|0.8894117647058823|0.896551724137931|0.8860145513338723|0.9003021148036254
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'LifeTime']|0.10901960784313726|0.10344827586206896|0.5638142411050778|0.5845739485600971|0.8909803921568628|0.896551724137931|0.8877221324717285|0.9003021148036254
64|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'Lon', 'LifeTime']|0.11725490196078431|0.10344827586206896|0.530864957159778|0.5845739485600971|0.8827450980392156|0.896551724137931|0.8793868495361032|0.9003021148036254
4|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.11490196078431372|0.10188087774294671|0.5402790382870065|0.5908682826728229|0.8850980392156863|0.8981191222570533|0.8811359026369168|0.9001536098310293
9|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dSeaLevPress']|0.12352941176470589|0.10188087774294671|0.5057607408205018|0.5908682826728229|0.8764705882352941|0.8981191222570533|0.8735447611401043|0.9001536098310293
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.11333333333333333|0.10344827586206896|0.5465550923718255|0.5845739485600971|0.8866666666666667|0.896551724137931|0.8845385537355175|0.9
81|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'Lon']|0.11215686274509803|0.10344827586206896|0.5512621329354398|0.5845739485600971|0.8878431372549019|0.896551724137931|0.8857827476038339|0.9
25|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'UWinds', 'Lon']|0.11843137254901961|0.10344827586206896|0.5261579165961637|0.5845739485600971|0.8815686274509804|0.896551724137931|0.8787148594377511|0.9
81|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.10941176470588235|0.10344827586206896|0.5622452275838731|0.5845739485600971|0.8905882352941177|0.896551724137931|0.887816646562123|0.9
100|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.10941176470588235|0.10344827586206896|0.5622452275838731|0.5845739485600971|0.8905882352941177|0.896551724137931|0.8877263581488932|0.9
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dQV']|0.10235294117647059|0.10344827586206896|0.5904874709655588|0.5845739485600971|0.8976470588235295|0.896551724137931|0.8953068592057761|0.9
49|['AirTemp', 'QV', 'Omega', 'Lon', 'LifeTime']|0.12274509803921568|0.10344827586206896|0.5088987678629113|0.5845739485600971|0.8772549019607843|0.896551724137931|0.8735353535353535|0.9
81|['AirTemp', 'QV', 'Omega', 'Lon', 'dSeaLevPress', 'LifeTime']|0.11529411764705882|0.10344827586206896|0.5387100247658018|0.5845739485600971|0.8847058823529412|0.896551724137931|0.8806818181818182|0.9
100|['AirTemp', 'QV', 'Omega', 'Lon', 'dSeaLevPress', 'LifeTime']|0.11333333333333333|0.10344827586206896|0.5465550923718255|0.5845739485600971|0.8866666666666667|0.896551724137931|0.8829485621709193|0.9
16|['AirTemp', 'QV', 'Omega', 'Lon', 'dOmega', 'LifeTime']|0.11686274509803922|0.10188087774294671|0.5324339706809827|0.5908682826728229|0.8831372549019608|0.8981191222570533|0.8794498381877023|0.8998459167950693
25|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dUWinds']|0.11411764705882353|0.10344827586206896|0.543417065329416|0.5845739485600971|0.8858823529411765|0.896551724137931|0.882708585247884|0.8996960486322189
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp']|0.12|0.10344827586206896|0.5198818625113447|0.5845739485600971|0.88|0.896551724137931|0.8761133603238865|0.8996960486322189
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV']|0.10862745098039216|0.10344827586206896|0.5653832546262827|0.5845739485600971|0.8913725490196078|0.896551724137931|0.8884414015304066|0.8996960486322189
49|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dAirTemp']|0.11019607843137255|0.10344827586206896|0.5591072005414636|0.5845739485600971|0.8898039215686274|0.896551724137931|0.8876449420231908|0.8996960486322189
36|['AirTemp', 'Omega', 'UWinds', 'Lat', 'Lon', 'LifeTime']|0.11843137254901961|0.10344827586206896|0.5261579165961637|0.5845739485600971|0.8815686274509804|0.896551724137931|0.8786173633440514|0.8996960486322189
25|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dQV']|0.11019607843137255|0.10344827586206896|0.5591072005414636|0.5845739485600971|0.8898039215686274|0.896551724137931|0.8871938980329185|0.8996960486322189
49|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dSeaLevPress']|0.11725490196078431|0.10344827586206896|0.530864957159778|0.5845739485600971|0.8827450980392156|0.896551724137931|0.8787018255578093|0.8996960486322189
64|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dSeaLevPress']|0.11490196078431372|0.10344827586206896|0.5402790382870065|0.5845739485600971|0.8850980392156863|0.896551724137931|0.8811359026369168|0.8996960486322189
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dSeaLevPress']|0.11568627450980393|0.10188087774294671|0.537141011244597|0.5908682826728229|0.884313725490196|0.8981191222570533|0.8808080808080808|0.8995363214837713
49|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.11176470588235295|0.10344827586206896|0.5528311464566446|0.5845739485600971|0.888235294117647|0.896551724137931|0.8860455817672931|0.8993902439024389
4|['AirTemp', 'QV', 'Omega', 'UWinds', 'VWinds', 'LifeTime']|0.1192156862745098|0.10344827586206896|0.5230198895537542|0.5845739485600971|0.8807843137254902|0.896551724137931|0.8779116465863454|0.8993902439024389
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dOmega']|0.1192156862745098|0.10344827586206896|0.5230198895537542|0.5845739485600971|0.8807843137254902|0.896551724137931|0.8765231519090172|0.8993902439024389
25|['AirTemp', 'QV', 'Omega', 'Lon', 'dOmega', 'dVWinds']|0.11607843137254902|0.10344827586206896|0.5355719977233923|0.5845739485600971|0.883921568627451|0.896551724137931|0.8798701298701299|0.8993902439024389
16|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dQV']|0.11647058823529412|0.10344827586206896|0.5340029842021875|0.5845739485600971|0.8835294117647059|0.896551724137931|0.8805790108564535|0.8993902439024389
9|['AirTemp', 'QV', 'Omega', 'Lon', 'dQV']|0.1203921568627451|0.10344827586206896|0.5183128489901399|0.5845739485600971|0.8796078431372549|0.896551724137931|0.8751525010166735|0.8993902439024389
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'LifeTime']|0.11803921568627451|0.10344827586206896|0.5277269301173685|0.5845739485600971|0.8819607843137255|0.896551724137931|0.8796481407437026|0.8993902439024389
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lat', 'LifeTime']|0.11686274509803922|0.10344827586206896|0.5324339706809827|0.5845739485600971|0.8831372549019608|0.896551724137931|0.8809904153354632|0.8993902439024389
36|['AirTemp', 'Omega', 'UWinds', 'Lon', 'LifeTime']|0.12392156862745098|0.10344827586206896|0.5041917272992971|0.5845739485600971|0.876078431372549|0.896551724137931|0.8725806451612904|0.8993902439024389
100|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'UWinds', 'LifeTime']|0.11411764705882353|0.10344827586206896|0.543417065329416|0.5845739485600971|0.8858823529411765|0.896551724137931|0.8831794460056203|0.8993902439024389
49|['AirTemp', 'QV', 'Omega', 'UWinds', 'dUWinds', 'LifeTime']|0.11215686274509803|0.10344827586206896|0.5512621329354398|0.5845739485600971|0.8878431372549019|0.896551724137931|0.8849557522123893|0.8993902439024389
81|['AirTemp', 'QV', 'Omega', 'Lon', 'dAirTemp', 'dSeaLevPress']|0.11490196078431372|0.10344827586206896|0.5402790382870065|0.5845739485600971|0.8850980392156863|0.896551724137931|0.8812322659100121|0.8993902439024389
25|['AirTemp', 'QV', 'Omega', 'Lon', 'dSeaLevPress', 'LifeTime']|0.11607843137254902|0.10344827586206896|0.5355719977233923|0.5845739485600971|0.883921568627451|0.896551724137931|0.8792822185970636|0.8993902439024389
36|['AirTemp', 'QV', 'Omega', 'Lon', 'dSeaLevPress', 'LifeTime']|0.11686274509803922|0.10344827586206896|0.5324339706809827|0.5845739485600971|0.8831372549019608|0.896551724137931|0.8786644951140066|0.8993902439024389
49|['AirTemp', 'QV', 'Omega', 'Lon', 'dSeaLevPress', 'LifeTime']|0.11803921568627451|0.10344827586206896|0.5277269301173685|0.5845739485600971|0.8819607843137255|0.896551724137931|0.8776919951239334|0.8993902439024389
81|['AirTemp', 'Omega', 'SeaLevPress', 'UWinds', 'LifeTime']|0.12352941176470589|0.10344827586206896|0.5057607408205018|0.5845739485600971|0.8764705882352941|0.896551724137931|0.8732394366197184|0.8993902439024389
36|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.10549019607843137|0.10344827586206896|0.5779353627959207|0.5845739485600971|0.8945098039215686|0.896551724137931|0.8920112404656764|0.8990825688073395
49|['AirTemp', 'QV', 'Omega', 'UWinds', 'dAirTemp', 'dUWinds']|0.10549019607843137|0.10344827586206896|0.5779353627959207|0.5845739485600971|0.8945098039215686|0.896551724137931|0.8920112404656764|0.8990825688073395
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dOmega']|0.11607843137254902|0.10344827586206896|0.5355719977233923|0.5845739485600971|0.883921568627451|0.896551724137931|0.8799675587996756|0.8990825688073395
9|['AirTemp', 'QV', 'Omega', 'Lon', 'dOmega', 'dVWinds']|0.12|0.10344827586206896|0.5198818625113447|0.5845739485600971|0.88|0.896551724137931|0.8754071661237786|0.8990825688073395
